date,year_dec,doy,modisvar,meandoy,data_loess,spline,interpl,sgfiltered,modisvar_interpol
27/10/12,2012.819672,NA,NA,NaN,0.835434074,0.823537991,0.845,0.834868853,0.823537991
28/10/12,2012.822404,NA,NA,NaN,0.839322997,0.826726774,0.7975,0.83734524,0.826726774
29/10/12,2012.825137,303,0.75,0.785,0.843176002,0.829712834,0.75,0.839767492,0.829712834
30/10/12,2012.827869,NA,NA,NaN,0.846897931,0.832481356,0.7875,0.84219719,0.832481356
31/10/12,2012.830601,NA,NA,NaN,0.850393625,0.835017523,0.825,0.844699597,0.835017523
01/11/12,2012.833333,NA,NA,NaN,0.853567925,0.837306522,0.8625,0.846695395,0.837306522
02/11/12,2012.836066,307,0.9,0.758181818,0.856325674,0.839333537,0.9,0.848137161,0.839333537
03/11/12,2012.838798,NA,NA,NaN,0.858571711,0.841083753,0.89,0.848976619,0.841083753
04/11/12,2012.84153,NA,NA,NaN,0.860210878,0.842542353,0.88,0.849164647,0.842542353
05/11/12,2012.844262,NA,NA,NaN,0.861148017,0.843694525,0.87,0.849623661,0.843694525
06/11/12,2012.846995,311,0.86,0.798571429,0.861287969,0.844525451,0.86,0.850249836,0.844525451
07/11/12,2012.849727,NA,NA,NaN,0.860453067,0.845025155,0.8575,0.851226925,0.845025155
08/11/12,2012.852459,NA,NA,NaN,0.858644007,0.845203011,0.855,0.852742644,0.845203011
09/11/12,2012.855191,NA,NA,NaN,0.85603317,0.84507323,0.8525,0.8528008,0.84507323
10/11/12,2012.857923,NA,NA,NaN,0.85279294,0.844650024,0.85,0.851791207,0.844650024
11/11/12,2012.860656,NA,NA,NaN,0.849095699,0.843947605,0.8475,0.849368162,0.843947605
12/11/12,2012.863388,NA,NA,NaN,0.84511383,0.842980184,0.845,0.845179732,0.842980184
13/11/12,2012.86612,NA,NA,NaN,0.841019714,0.841761974,0.8425,0.841339243,0.841761974
14/11/12,2012.868852,319,0.84,0.775714286,0.836985735,0.840307187,0.84,0.837074283,0.840307187
15/11/12,2012.871585,NA,NA,NaN,0.833184276,0.838630033,0.8325,0.83266954,0.838630033
16/11/12,2012.874317,NA,NA,NaN,0.829787717,0.836744724,0.825,0.828413384,0.836744724
17/11/12,2012.877049,NA,NA,NaN,0.826968443,0.834665473,0.8175,0.824597867,0.834665473
18/11/12,2012.879781,323,0.81,0.774615385,0.824898836,0.832406492,0.81,0.82225124,0.832406492
19/11/12,2012.882514,NA,NA,NaN,0.823857847,0.829981991,0.81,0.821520306,0.829981991
20/11/12,2012.885246,NA,NA,NaN,0.823879083,0.827406182,0.81,0.822561779,0.827406182
21/11/12,2012.887978,NA,NA,NaN,0.824766914,0.824693278,0.81,0.82290873,0.824693278
